"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
8224,"Delaware","2020-05-17",247.475044614175,89.2475,606.6975,75.7137764024976,29.0975,183.125446428571,67.2311440502179,24.99875,165.150446428571,7.594,3,19,29.8050879200263,7.65,83.3260714285714,9.05979612407716,2.55,25.0053571428571,307.273,245,444.025,0,0,0,34.7137764024976,0,142.125446428571,"projected",-49.473316686521,"projected",577.369728911334,,657.113868958803,"62.5142650530906","3051.09551092127"
8225,"Delaware","2020-05-18",242.971394546699,84.145,624.30125,74.0486010379455,26.59875,184.1309375,65.7924721792226,22.99875,165.849107142857,7.436,3,19,29.2725785785637,7.6975,84.8897916666667,8.89792078792381,2.55,25.4716666666667,314.709,248,463.05,0,0,0,33.0486010379455,0,143.1309375,"projected",-49.4733154841533,"projected",585.323701791213,,639.781936254799,"57.489155265782","3024.91797546371"
8226,"Delaware","2020-05-19",238.39065819427,78.49875,619.780833333333,72.4554567403615,24.79875,184.652008928571,64.4153591586905,21.4,166.764285714286,7.288,2,19,28.5959204259234,7.19875,84.7,8.73833278582013,2.5,25.6021875,321.997,250,484,0,0,0,31.4554567403615,0,143.652008928571,"projected",-49.4733148452507,"projected",593.277674671092,,626.982352350204,"53.2250950655493","3025.56797743366"
8227,"Delaware","2020-05-20",234.085500983983,74.24875,631.135,70.971131665939,23.3975,186.365178571428,63.1341365941721,20.25,167.589285714286,7.168,2,19.025,28.2790194549817,6.6,84.2620833333333,8.60566026935741,2.35,25.801875,329.165,252,501.025,0,0,0,29.971131665939,0,145.365178571428,"projected",-49.4733145057566,"projected",601.231647550971,,622.591028538098,"49.9180697128497","3062.97202855378"
8228,"Delaware","2020-05-21",229.417611739898,69.69625,643.355,69.4752151836038,21.89875,188.239285714286,61.8289934159021,19.19625,169.906071428571,7.057,2,19.025,27.3377508890061,4.94625,82.5465625,8.39443131211324,1.65,26.0645089285714,336.222,254,518.05,0,0,0,28.4752151836038,0,147.239285714286,"projected",-49.4733143253595,"projected",609.185620430851,,612.118203075932,"46.1185252057854","3071.54059661996"
8229,"Delaware","2020-05-22",224.809318854357,64.565,644.746666666666,68.0353842946828,20.2,191.740119047619,60.5603726164487,17.5475,172.914047619048,6.93,2,20,26.9250263103555,4.29625,84.4733333333333,8.21010696863766,1.54875,25.75,343.152,256,537.025,0,0,0,27.0353842946828,0,150.740119047619,"projected",-49.4733142295018,"projected",617.139593310729,,596.018195611935,"42.2064041972859","3051.59596670198"
8230,"Delaware","2020-05-23",219.916042717937,58.9975,655.253333333333,66.6783110547863,18.69875,192.982023809524,59.3384858178157,16.15,173.583333333333,6.798,2,20,26.1042023987193,3.79875,83.0216666666666,8.05210549422198,1.4,25.600625,349.95,258,556.025,0,0,0,25.6783110547863,0,151.982023809524,"projected",-49.4733141785659,"projected",625.093566190608,,577.929362367056,"38.4834834393318","2988.95670171851"
8231,"Delaware","2020-05-24",214.993871904403,52.79,646.11,65.294632239819,16.9975,194.338571428571,58.0960175694704,14.49875,174.575104166667,6.688,2,20,25.5292421809142,3.55,85.619375,7.83161110307821,1.35,25.6066666666667,356.638,260,574.025,0,0,0,24.294632239819,0,153.338571428571,"projected",-49.4733141515,"projected",633.047539070487,,560.37461725166,"35.0898842882481","2940.33439482035"
8232,"Delaware","2020-05-25",210.132043880676,47.3975,639.811666666666,63.9069798313657,15.35,195.278333333333,56.8424397184515,13.09875,174.565,6.582,2,20,25.0326670371725,3.5,83.7845833333333,7.6459871838344,1.25,24.8765625,363.22,262,592.025,0,0,0,22.9069798313657,0,154.278333333333,"projected",-49.473314137118,"projected",641.001511950366,,539.937872741743,"31.811414982978","2877.64723455513"
8233,"Delaware","2020-05-26",205.340372957422,42.6775,640.926666666666,62.4417778363235,13.895,193.648333333333,55.5244040746663,11.75,172.958333333333,6.404,1,20,24.3450803915898,3.39875,82.028125,7.42988726969195,1.25,24.4721875,369.624,263,609.05,0,0,0,21.4417778363235,0,152.648333333333,"projected",-49.4733141294759,"projected",648.955484830246,,517.479027389471,"28.7046040517482","2799.23228775746"
